annee;faits;codgeo;type_insecurite
18;235;2691;Autres coups et blessures volontaires
19;199;2691;Autres coups et blessures volontaires
20;174;2691;Autres coups et blessures volontaires
21;177;2691;Autres coups et blessures volontaires
18;199;6004;Autres coups et blessures volontaires
19;214;6004;Autres coups et blessures volontaires
20;221;6004;Autres coups et blessures volontaires
21;232;6004;Autres coups et blessures volontaires
18;258;6029;Autres coups et blessures volontaires
19;257;6029;Autres coups et blessures volontaires
20;285;6029;Autres coups et blessures volontaires
21;301;6029;Autres coups et blessures volontaires
18;1269;6088;Autres coups et blessures volontaires
19;1409;6088;Autres coups et blessures volontaires
20;1324;6088;Autres coups et blessures volontaires
21;1378;6088;Autres coups et blessures volontaires
18;304;10387;Autres coups et blessures volontaires
19;298;10387;Autres coups et blessures volontaires
20;244;10387;Autres coups et blessures volontaires
21;278;10387;Autres coups et blessures volontaires
18;471;13001;Autres coups et blessures volontaires
19;554;13001;Autres coups et blessures volontaires
20;481;13001;Autres coups et blessures volontaires
21;523;13001;Autres coups et blessures volontaires
18;184;13004;Autres coups et blessures volontaires
19;194;13004;Autres coups et blessures volontaires
20;181;13004;Autres coups et blessures volontaires
21;191;13004;Autres coups et blessures volontaires
18;3435;13055;Autres coups et blessures volontaires
19;3458;13055;Autres coups et blessures volontaires
20;3250;13055;Autres coups et blessures volontaires
21;3526;13055;Autres coups et blessures volontaires
18;487;14118;Autres coups et blessures volontaires
19;453;14118;Autres coups et blessures volontaires
20;410;14118;Autres coups et blessures volontaires
21;490;14118;Autres coups et blessures volontaires
18;235;17300;Autres coups et blessures volontaires
19;257;17300;Autres coups et blessures volontaires
20;298;17300;Autres coups et blessures volontaires
21;283;17300;Autres coups et blessures volontaires
18;202;18033;Autres coups et blessures volontaires
19;242;18033;Autres coups et blessures volontaires
20;207;18033;Autres coups et blessures volontaires
21;206;18033;Autres coups et blessures volontaires
18;510;21231;Autres coups et blessures volontaires
19;494;21231;Autres coups et blessures volontaires
20;504;21231;Autres coups et blessures volontaires
21;494;21231;Autres coups et blessures volontaires
18;591;25056;Autres coups et blessures volontaires
19;578;25056;Autres coups et blessures volontaires
20;548;25056;Autres coups et blessures volontaires
21;553;25056;Autres coups et blessures volontaires
18;295;26362;Autres coups et blessures volontaires
19;289;26362;Autres coups et blessures volontaires
20;265;26362;Autres coups et blessures volontaires
21;307;26362;Autres coups et blessures volontaires
18;591;29019;Autres coups et blessures volontaires
19;562;29019;Autres coups et blessures volontaires
20;559;29019;Autres coups et blessures volontaires
21;543;29019;Autres coups et blessures volontaires
18;192;29232;Autres coups et blessures volontaires
19;229;29232;Autres coups et blessures volontaires
20;163;29232;Autres coups et blessures volontaires
21;185;29232;Autres coups et blessures volontaires
18;158;2A004;Autres coups et blessures volontaires
19;144;2A004;Autres coups et blessures volontaires
20;170;2A004;Autres coups et blessures volontaires
21;226;2A004;Autres coups et blessures volontaires
18;596;30189;Autres coups et blessures volontaires
19;559;30189;Autres coups et blessures volontaires
20;532;30189;Autres coups et blessures volontaires
21;604;30189;Autres coups et blessures volontaires
18;1829;31555;Autres coups et blessures volontaires
19;1962;31555;Autres coups et blessures volontaires
20;1839;31555;Autres coups et blessures volontaires
21;1938;31555;Autres coups et blessures volontaires
18;1196;33063;Autres coups et blessures volontaires
19;1284;33063;Autres coups et blessures volontaires
20;1161;33063;Autres coups et blessures volontaires
21;1150;33063;Autres coups et blessures volontaires
18;113;33281;Autres coups et blessures volontaires
19;121;33281;Autres coups et blessures volontaires
20;98;33281;Autres coups et blessures volontaires
21;138;33281;Autres coups et blessures volontaires
18;88;33318;Autres coups et blessures volontaires
19;90;33318;Autres coups et blessures volontaires
20;109;33318;Autres coups et blessures volontaires
21;87;33318;Autres coups et blessures volontaires
18;339;34032;Autres coups et blessures volontaires
19;311;34032;Autres coups et blessures volontaires
20;317;34032;Autres coups et blessures volontaires
21;336;34032;Autres coups et blessures volontaires
18;1232;34172;Autres coups et blessures volontaires
19;1336;34172;Autres coups et blessures volontaires
20;1311;34172;Autres coups et blessures volontaires
21;1262;34172;Autres coups et blessures volontaires
18;724;35238;Autres coups et blessures volontaires
19;809;35238;Autres coups et blessures volontaires
20;765;35238;Autres coups et blessures volontaires
21;777;35238;Autres coups et blessures volontaires
18;467;37261;Autres coups et blessures volontaires
19;499;37261;Autres coups et blessures volontaires
20;431;37261;Autres coups et blessures volontaires
21;449;37261;Autres coups et blessures volontaires
18;776;38185;Autres coups et blessures volontaires
19;728;38185;Autres coups et blessures volontaires
20;633;38185;Autres coups et blessures volontaires
21;642;38185;Autres coups et blessures volontaires
18;553;42218;Autres coups et blessures volontaires
19;619;42218;Autres coups et blessures volontaires
20;495;42218;Autres coups et blessures volontaires
21;594;42218;Autres coups et blessures volontaires
18;1263;44109;Autres coups et blessures volontaires
19;1361;44109;Autres coups et blessures volontaires
20;1071;44109;Autres coups et blessures volontaires
21;1227;44109;Autres coups et blessures volontaires
18;197;44184;Autres coups et blessures volontaires
19;252;44184;Autres coups et blessures volontaires
20;234;44184;Autres coups et blessures volontaires
21;233;44184;Autres coups et blessures volontaires
18;497;45234;Autres coups et blessures volontaires
19;428;45234;Autres coups et blessures volontaires
20;470;45234;Autres coups et blessures volontaires
21;432;45234;Autres coups et blessures volontaires
18;409;49007;Autres coups et blessures volontaires
19;409;49007;Autres coups et blessures volontaires
20;413;49007;Autres coups et blessures volontaires
21;354;49007;Autres coups et blessures volontaires
18;152;49099;Autres coups et blessures volontaires
19;135;49099;Autres coups et blessures volontaires
20;109;49099;Autres coups et blessures volontaires
21;93;49099;Autres coups et blessures volontaires
18;656;51454;Autres coups et blessures volontaires
19;576;51454;Autres coups et blessures volontaires
20;475;51454;Autres coups et blessures volontaires
21;613;51454;Autres coups et blessures volontaires
18;516;54395;Autres coups et blessures volontaires
19;466;54395;Autres coups et blessures volontaires
20;400;54395;Autres coups et blessures volontaires
21;498;54395;Autres coups et blessures volontaires
18;324;56121;Autres coups et blessures volontaires
19;288;56121;Autres coups et blessures volontaires
