,codgeo,dep,libgeo,pop,evol_pop,evol_pop_pct,nb_menages,nb_homme,nb_femme,nb_etudiants,nb_entrep_services,nb_entrep_industrie,nb_entrep_commerce,nb_creation_entr,moyenne_sal_dep_horaire,nb_actifs,nb_actifs_sal,nb_educ_sante_action sociale,nb_pharmacie,typo_densite
0,2691,2,Saint-Quentin,59049,3028,5,24661,53714,60640,4483,1418.0,386.0,1218.0,234.0,10.39722222222222,20080.0,18426.0,436.0,0.0,Centres urbains intermédiaires
1,6004,6,Antibes,72454,-66,0,34144,66092,75626,4652,2356.0,812.0,3519.0,720.0,12.579245283018867,26226.0,21994.0,774.0,2.0,Grands centres urbains
2,6029,6,Cannes,67406,-3706,-5,33191,58742,73320,3609,3068.0,1057.0,5106.0,842.0,12.579245283018867,20554.0,17475.0,860.0,6.0,Grands centres urbains
3,6088,6,Nice,343123,-4174,-1,164910,306560,364590,29004,11956.0,3592.0,13867.0,3222.0,12.579245283018867,119245.0,103265.0,4033.0,18.0,Grands centres urbains
5,10387,10,Troyes,60903,1905,3,28128,55640,62872,5897,1864.0,417.0,1613.0,284.0,10.48095238095238,22641.0,20779.0,482.0,1.0,Grands centres urbains
6,13001,13,Aix-en-Provence,134324,5230,3,60880,121586,141024,20268,6316.0,1508.0,4759.0,1169.0,12.4778947368421,47614.0,41848.0,1859.0,5.0,Grands centres urbains
7,13004,13,Arles,50467,1102,2,20691,47352,51056,3507,1396.0,476.0,1381.0,339.0,12.4778947368421,17057.0,14563.0,438.0,1.0,Centres urbains intermédiaires
8,13055,13,Marseille,797491,16232,2,346820,731594,820766,71159,24830.0,6818.0,21248.0,5488.0,12.4778947368421,257721.0,228818.0,8785.0,32.0,Grands centres urbains
9,14118,14,Caen,114007,7390,6,54358,101972,120482,19489,3793.0,698.0,3240.0,646.0,10.7,39970.0,36554.0,1081.0,1.0,Grands centres urbains
10,17300,17,La Rochelle,76711,2163,2,37761,69634,80262,8465,2741.0,758.0,2358.0,576.0,10.633333333333333,26483.0,23780.0,725.0,1.0,Grands centres urbains
11,18033,18,Bourges,72434,2788,3,32311,66830,74276,5878,1877.0,462.0,1543.0,275.0,10.364999999999998,28269.0,26076.0,467.0,1.0,Grands centres urbains
12,21231,21,Dijon,150138,7203,4,71334,134836,158050,23891,4494.0,981.0,3454.0,670.0,11.059259259259258,60359.0,55717.0,1213.0,4.0,Grands centres urbains
13,25056,25,Besançon,117691,8053,6,55159,105880,123358,18671,3538.0,791.0,2596.0,512.0,10.96,44620.0,40994.0,986.0,2.0,Grands centres urbains
14,26362,26,Valence,64222,3559,5,28965,58558,66156,5801,2405.0,623.0,2330.0,500.0,10.955263157894734,22980.0,20842.0,592.0,4.0,Grands centres urbains
16,29019,29,Brest,149649,9486,6,70552,138866,151538,18783,3169.0,792.0,2793.0,486.0,10.813861386138615,54424.0,50556.0,971.0,1.0,Grands centres urbains
17,29232,29,Quimper,63274,1931,3,28837,57288,66282,6357,2056.0,580.0,1929.0,292.0,10.813861386138615,25401.0,22807.0,585.0,2.0,Grands centres urbains
18,2A004,2A,Ajaccio,52851,1423,2,22333,47790,55574,3326,2067.0,623.0,2333.0,418.0,10.78888888888889,19034.0,16752.0,593.0,4.0,Centres urbains intermédiaires
19,30189,30,Nîmes,133406,4079,3,60191,121262,138514,11923,4734.0,1118.0,3969.0,1008.0,10.982258064516127,43541.0,38028.0,1503.0,6.0,Grands centres urbains
20,31555,31,Toulouse,390301,19015,4,199430,359312,402118,60792,14312.0,3612.0,11739.0,3070.0,12.77692307692308,147350.0,132153.0,4126.0,14.0,Grands centres urbains
21,33063,33,Bordeaux,215374,4019,1,114133,193446,227122,30147,9691.0,2030.0,8284.0,1977.0,11.54747474747474,81264.0,71034.0,2537.0,7.0,Grands centres urbains
22,33281,33,Mérignac,61990,3335,5,27649,56118,64738,5894,1845.0,684.0,1559.0,404.0,11.54747474747474,26351.0,24292.0,465.0,6.0,Grands centres urbains
23,33318,33,Pessac,56151,1881,3,22070,51600,58128,7996,1315.0,441.0,800.0,247.0,11.54747474747474,21412.0,19576.0,467.0,3.0,Grands centres urbains
24,34032,34,Béziers,69359,-66,0,31560,62224,73186,4386,2187.0,665.0,2524.0,582.0,11.425581395348836,20281.0,17204.0,762.0,1.0,Grands centres urbains
25,34172,34,Montpellier,225511,11823,5,112008,201190,238830,39317,9037.0,1890.0,6431.0,1961.0,11.425581395348836,72771.0,64751.0,2779.0,7.0,Grands centres urbains
26,35238,35,Rennes,206194,14304,6,99462,185110,216642,38336,6113.0,1116.0,4728.0,970.0,11.434090909090909,78816.0,72637.0,1559.0,5.0,Grands centres urbains
28,37261,37,Tours,132677,5402,4,66627,116688,142338,20063,4080.0,891.0,3187.0,664.0,11.67959183673469,49086.0,45074.0,1251.0,2.0,Grands centres urbains
29,38185,38,Grenoble,153426,7700,5,75227,142570,157006,25230,5741.0,1252.0,4584.0,964.0,12.39905660377358,57320.0,52027.0,1719.0,2.0,Grands centres urbains
30,42218,42,Saint-Etienne,180438,6489,3,82269,163846,188158,19289,4711.0,1453.0,4961.0,970.0,10.936363636363636,63182.0,57494.0,1267.0,3.0,Grands centres urbains
31,44109,44,Nantes,270343,15198,5,130582,245248,280616,38246,9242.0,1977.0,6297.0,1659.0,11.068852459016398,100975.0,91591.0,2364.0,6.0,Grands centres urbains
32,44184,44,Saint-Nazaire,65868,2318,3,29109,61072,67260,5788,1523.0,455.0,1412.0,268.0,11.068852459016398,23002.0,21047.0,458.0,0.0,Centres urbains intermédiaires
33,45234,45,Orléans,113089,8380,7,50689,103776,115668,13824,3480.0,646.0,2348.0,593.0,11.520689655172417,47170.0,43966.0,853.0,7.0,Grands centres urbains
34,49007,49,Angers,151322,9417,6,70810,133852,160634,25332,4126.0,898.0,2930.0,624.0,10.555714285714288,55247.0,50902.0,1202.0,2.0,Grands centres urbains
35,49099,49,Cholet,54215,3879,7,22551,50966,54676,4926,1306.0,469.0,1204.0,245.0,10.555714285714288,22206.0,20184.0,339.0,2.0,Centres urbains intermédiaires
36,51454,51,Reims,187181,12879,6,83262,171830,191626,26018,4195.0,1221.0,3409.0,787.0,11.032142857142857,71191.0,66232.0,1172.0,12.0,Grands centres urbains
38,54395,54,Nancy,103552,5287,5,52981,92774,109110,19356,3773.0,792.0,2984.0,580.0,11.173529411764704,39679.0,35822.0,955.0,3.0,Grands centres urbains
